supplier_id,supplier_ref,supplier_name,address,contact_no,email,contact_person_name,contact_person_number,bf_balance,balance,status,created_at,created_user_id,updated_at,updated_user_id
29,a2fc6ae5-2368-11ec-bfb2-002590fd1374,Diamond Holdings -Anwar,Nittabuwa Shakib Nittabuwa,0777360083,,,,0.0,0.0,0,2021-10-02 15:38:01,5.0,2024-11-18 09:06:42,5.0
30,8eb899db-2421-11ec-bfb2-002590fd1374,Yasas Enterprises,Kaluthara,0718582369,,A.A.C Silos,,0.0,10000.0,1,2021-10-03 13:41:42,5.0,2025-03-19 11:14:10,5.0
31,41539767-2a5b-11ec-bfb2-002590fd1374,Safe Distributors (ARPICO),"NO;51, Mihinthale Road, Kurundankulama, Anuradapuraya.",025-5677977,,,,0.0,316077.75,1,2021-10-11 11:49:37,5.0,2025-03-22 08:38:12,5.0
32,1f836d2e-2db9-11ec-bfb2-002590fd1374,Sithumi Chemical,Polonnaruwa,0713007809,,,,0.0,0.0,1,2021-10-15 18:38:58,5.0,2021-10-15 13:12:23,
33,ee9e7f44-2f1c-11ec-bfb2-002590fd1374,R.A. Electrical,"177/1 A, Nikalanda, Athulgama, Thalathuoya, Kandy",0777813226,,,,0.0,0.0,1,2021-10-17 13:05:54,5.0,2024-11-09 11:36:26,5.0
34,fde1f8d8-2fde-11ec-bfb2-002590fd1374,Nippon Paint Lanka (PVT) LTD- 57301 price deduct,"NO-69 A, Buthagamuwa Road, Rajagiriya.",0774027248/011460040,,[RTN],,0.0,1530359.691,1,2021-10-18 12:15:01,5.0,2025-03-18 04:14:29,5.0
35,99da5896-3578-11ec-9b1d-002590fd1374,S&S Distributors,"New Kandy Road, Anuradhapura.",0705354758,,,,0.0,0.0,0,2021-10-25 15:17:31,5.0,2023-04-05 19:29:31,5.0
36,a6cb26c9-37d9-11ec-9b1d-002590fd1374,Steelco Lanka Trading (Pvt) Ltd,"Raththanapitiya,Boralesgamuwa",0112150309,,,,0.0,0.0,1,2021-10-28 15:57:11,5.0,2025-02-07 05:50:11,
37,fc4437ec-3888-11ec-9b1d-002590fd1374,Rajapaksha Enterprises,"No;33, Abaya mawatha, Cross Road, Wijepura, Anuradhapura.",076-3144117 / 071-75,,,,0.0,61600.0,1,2021-10-29 12:52:15,5.0,2025-03-08 06:30:45,
38,0437da6c-3af8-11ec-9b1d-002590fd1374,Dinithi Enterprises. (Lakshapana),"No-2748, Stage 111, Anuradhapura.",711964424/0254921398,,,,0.0,0.0,1,2021-11-01 15:12:00,5.0,2025-01-20 10:17:28,5.0
39,e1603891-44fe-11ec-9fd6-002590fd1374,Everest Hardware Co. (PVT) LTD,"363/10/01, Malwatte, Kal-Eliya, Mirigama.",0094334950951,,[RTN 321silicon Gun],,0.0,91161.8,1,2021-11-14 09:26:35,5.0,2025-03-07 09:32:16,5.0
40,319d0e9a-460a-11ec-9fd6-002590fd1374,Pasindu Suppliers & Distributors (PVT) LTD (JAT),"Jaffna Road, Isenbessagala, Medawachchiya.",071-9078047,,[W/B RTN],,0.0,93070.44,1,2021-11-15 17:20:03,5.0,2025-03-20 04:39:31,5.0
41,48be5511-4797-11ec-9fd6-002590fd1374,Afshan Trading Co. (ALKATHENE),"Puththalam Road, Mahabulankulama, Anuradhapura.",0707878392/078818428,,,,0.0,4600.1,1,2021-11-17 16:42:28,5.0,2025-01-24 10:35:12,5.0
42,66edc9b8-4a86-11ec-9fd6-002590fd1374,Shivani Trade Center (MACSON),"no-741/B10, Stage 11, Anuradhapura.",025-2053723,,,,0.0,0.11000000000058,1,2021-11-21 10:19:04,5.0,2025-01-07 09:04:22,5.0
43,2df036d3-4c11-11ec-9fd6-002590fd1374,D&G Holding,"215/B, Athuruguriya Road, Malapalla, Kottawa, Pannipitiya.",0777119431/076336888,,,,0.0,0.0,1,2021-11-23 09:24:56,5.0,2022-12-14 03:48:19,5.0
44,edcf4dc3-4dae-11ec-92e9-002590fd1374,NCH Marketing Enterprises PVT.Ltd,"NO-366, Main Street, Kanthale.",0772647514,,,,0.0,0.0,0,2021-11-25 10:47:05,5.0,2023-04-05 19:25:29,5.0
45,7d04b4ef-4f3a-11ec-92e9-002590fd1374,Priyantha Distributors,"N0-190/5, Kandy Road, Kadawatha.",0772002941,,Mr. Menan,,0.0,70475.0,1,2021-11-27 09:58:32,5.0,2025-02-19 09:38:13,5.0
46,8236bcd4-5eed-11ec-abdf-002590fd1374,New Dayan Distributors (MULTIBONE),"6th Mile Post, Ghnanikkulama, Kandy Road, Anuradhapura.",REF:0703435613,,0252057273,,0.0,0.0,1,2021-12-17 09:27:33,5.0,2023-11-10 06:37:49,5.0
47,a73be78b-617b-11ec-abdf-002590fd1374,Mel-Bon Trading Company,"NO-36, Mugalan Rd, Colombo-06",0382248482,,,,0.0,0.0,1,2021-12-20 15:30:01,5.0,2023-03-09 11:54:28,5.0
48,25125d46-618e-11ec-abdf-002590fd1374,Rubber Doormate Trade Center,"no-421, Dummaladeniya, Warakapola",0779850032,,,,0.0,0.0,0,2021-12-20 17:42:22,5.0,2023-08-02 21:03:17,5.0
49,a52ae6b4-646b-11ec-abdf-002590fd1374,Keshara Minerals & Chemicals (PVT) LTD,"29/1, Madawala Rd, Malapana, Kengalla, Kandy",0777105708,,,,0.0,288361.84,1,2021-12-24 09:12:52,5.0,2025-02-25 05:55:36,
50,3726a967-6477-11ec-abdf-002590fd1374,Chola Hardware (PVT) LTD(POLYCROME),"NO-125, Amman Kovil Rd, Kilinochchiya",0777351331,,,,0.0,289492.5,1,2021-12-24 10:35:42,5.0,2025-03-18 10:01:18,5.0
51,0b26164b-6629-11ec-abdf-002590fd1374,Sun Cables (PVT) LTD,"NO-95/1, Darmapala Mawatha, Colombo 07.",0112303132,,0771908041,,0.0,259476.0,1,2021-12-26 14:21:05,5.0,2025-03-10 06:17:22,5.0
52,2c2a059c-67a4-11ec-abdf-002590fd1374,Sarathchandra Chemicals PVT (LTD),"NO-133, Main Street, Embilipitiya.",0766303535,,,,0.0,0.0,1,2021-12-28 11:34:56,5.0,2022-06-08 12:25:49,
53,440ec4fa-67ca-11ec-abdf-002590fd1374,Oleema Industries (PVT) LTD,"69/2, Rambutanwaththa Rd, Palahala, Dompe.",0777552810,,,,0.0,0.0,0,2021-12-28 16:07:37,5.0,2023-02-17 16:37:10,5.0
54,a1cb04a4-67ca-11ec-abdf-002590fd1374,P Tech International Holdings,"105/2/20, Kinigama, Buthpitiya.",0741727406/071867286,,,,0.0,0.0,1,2021-12-28 16:10:14,5.0,2023-05-26 08:14:15,5.0
55,56e2f51d-6ea1-11ec-abdf-002590fd1374,Gavutham Multi Iron Work,Jaffna,0212242972 / 0773566,,,,0.0,0.0,1,2022-01-06 09:02:02,5.0,2023-02-01 06:23:41,
56,a85e912e-7076-11ec-abdf-002590fd1374,Faazil Enterprises,"404/A, Dool Mala, Thihariya Kalagedihena",0773054038,,,,0.0,0.0,1,2022-01-08 17:01:29,5.0,2024-10-16 07:42:46,5.0
57,9b6e169a-7357-11ec-abdf-002590fd1374,Pathirana S Distributor - HASKY,"No: 117,21 Ela, Diwulwewa, Hidogama, Anuradapuraya",0773077278/077193850,info@hasky.lk,,,0.0,357521.0,1,2022-01-12 08:56:40,5.0,2025-03-08 07:43:32,5.0
58,e7fb809b-78d7-11ec-b00d-002590fd1374,MBL Marketing,Colombo,0777677210,,,,0.0,0.0,1,2022-01-19 08:58:34,5.0,2024-11-08 04:30:02,
59,08bbd8e4-79e5-11ec-9b8d-002590fd1374,(SLON)Shanmugam Stores (Seedevi),"No. 504, Kandy Road, Vavuniya",0772874471/ 02422285,,,,0.0,0.0,0,2022-01-20 17:05:13,5.0,2022-12-20 16:39:10,5.0
60,e16c09f4-7c17-11ec-9b8d-002590fd1374,Gajindu Distributors,"No- 270, Old Moor Street, Colombo 12",077 2373939,,,,0.0,-15300.0,0,2022-01-23 12:14:09,5.0,2024-02-22 11:54:11,5.0
61,8387c106-80c5-11ec-9b8d-002590fd1374,Dhanujaya & Bro' s,Kekirawa,077 1483948,,,,0.0,0.0,1,2022-01-29 11:06:58,5.0,2025-03-22 09:02:14,
62,1db2a2ef-825e-11ec-9b8d-002590fd1374,Prime Base (PVT) LTD,"NO 266/1, Layards Broadway, Colombo",0773869752,,Mr.Asela 0773116343,,0.0,0.0,1,2022-01-31 11:51:48,5.0,2025-02-05 06:17:16,5.0
63,db38a31c-84ef-11ec-9b8d-002590fd1374,Plywood House (Pvt.) Ltd,"No 203, Colombo Road, Kegalle",035-4932343,,,,0.0,58500.0,1,2022-02-03 18:20:00,5.0,2025-03-21 07:50:03,
64,bd4ba70a-87d4-11ec-9b8d-002590fd1374,On Approval - Saraneru,Polonnaruwa,077-4299984,,Mr.Ajith -071-3331455,,0.0,0.0,1,2022-02-07 10:43:20,5.0,2022-11-03 16:00:09,5.0
65,9347dada-8808-11ec-9b8d-002590fd1374,IBM Marketing,"Waliweriya, Gampaha",078-7522301/ 075-775,,,,0.0,0.0,1,2022-02-07 16:54:23,5.0,2023-08-09 09:18:50,
66,374a1d68-8a3f-11ec-8514-002590fd1374,Dash,"No 178, Pubudupura, Anuradapura",-,,,,0.0,0.0,1,2022-02-10 12:31:03,5.0,2024-04-05 10:11:43,5.0
67,df155269-8a6a-11ec-8514-002590fd1374,D&D Distributors,"No 85/3, 24 Mile Post, Bendiwewa, Polonnaruwa",076-7746398,,,,0.0,0.0,1,2022-02-10 17:43:32,5.0,2024-12-20 12:30:39,5.0
68,baa73125-8a73-11ec-8514-002590fd1374,Global Vinyl (Floor Carpet),"208, Sea Street, Colombo 11",077-7447851,,Mr.Sanjeewa,,0.0,-3.6379788070917e-12,1,2022-02-10 18:46:56,5.0,2025-03-19 05:49:01,5.0
69,a8ba4fe5-8d68-11ec-aece-002590fd1374,Lahiru Distributor-ANTON PVC,345/B.National House..Lake Road.Apura,0768713405,,Mr.Milinda,,0.0,17775.12,1,2022-02-14 13:05:18,5.0,2025-03-11 12:55:26,5.0
70,d48a9fd1-8d95-11ec-aece-002590fd1374,Ramson Enterprises Lanka (Pvt)Ltd,No 6A Sri Wijewardana Rd...Nawala road..Nugegoda,info@ramson.lk,,077-9126380,,0.0,0.0,1,2022-02-14 18:28:38,5.0,2025-02-19 09:53:56,5.0
71,2357847d-90a6-11ec-aece-002590fd1374,City Hardware-Vavuniya,Vavuniya,077-7488673,,,,0.0,584893.0,1,2022-02-18 16:02:49,5.0,2025-03-20 08:49:27,5.0
72,bda97e68-90ae-11ec-aece-002590fd1374,On Approval -(Shums Traders),-,[RTN 2847],,Mr. Huzain,,0.0,0.0,1,2022-02-18 17:04:24,5.0,2025-03-19 10:39:39,5.0
73,acbe3e11-9302-11ec-aece-002590fd1374,R.A.H  Enterprises,Anuradapura,070-6312230,,Mr.H.M Sunanda,,0.0,0.0,1,2022-02-21 16:10:11,5.0,2024-06-13 08:51:39,5.0
74,0197c179-96df-11ec-aece-002590fd1374,SLICE Marketing Service,"No'03,Meladumpotha Road, Matale, sri lanka.",0705328232,infoslicemarketing@gmail.com,shan,,0.0,0.0,1,2022-02-26 14:04:47,5.0,2022-02-26 08:40:36,5.0
75,8980255a-9701-11ec-aece-002590fd1374,Rajapaksha Electricals (PVT) LTD,"No 93, Nissanka Mawatha, Malkanduwewa, Kurunagala",0701787878/ 037-2232,Mr. Amila 071-5304649rajapakashaelectrlcals@gmail.,[RTN Bulb],,0.0,0.0,1,2022-02-26 18:11:57,5.0,2023-08-21 14:13:02,5.0
76,8fe342b8-977c-11ec-aece-002590fd1374,Trinty Trading Lanka Distributors (PVT) Ltd,"No 192, Messenger Street, Colombo 12",076-349005,trintytrading@sltnet.lk,,,0.0,0.0,0,2022-02-27 08:52:35,5.0,2023-04-05 19:32:01,5.0
77,faa7b57f-9ac3-11ec-aece-002590fd1374,MD Distributors,"Hiripitiyagama, Kekirawa",071-0810035,,,,0.0,0.0,0,2022-03-03 13:01:15,5.0,2023-04-05 19:23:52,5.0
78,fc9b1458-a431-11ec-a6a3-002590fd1374,Lht Lotus  Holdings,No 66/23F Broomhil Estate Thihariya,0779028428,,,,0.0,0.0,1,2022-03-15 13:01:44,5.0,2025-02-22 07:34:53,5.0
79,061434a7-a4fa-11ec-a6a3-002590fd1374,SS Poly Pack,"No.2595, Pirivena Road, Stage III, Anuradapura",070-5354758,,,,0.0,0.0,0,2022-03-16 12:53:37,5.0,2023-03-13 22:41:33,5.0
80,e567fad8-a741-11ec-a6a3-002590fd1374,Mr Isuru (SILICONE),-,076-8377035,,,,0.0,0.0,1,2022-03-19 10:33:03,5.0,2022-12-09 10:31:10,
81,7fbe454a-a77f-11ec-a6a3-002590fd1374,Sakura Enterprises-ROBBIALAC,Anuradapura,077-3833389,,0778409431,,0.0,828581.0,1,2022-03-19 17:54:02,5.0,2025-03-23 06:29:02,5.0
82,53f32631-ac37-11ec-b57e-5254007123c1,Brass Lanka,"Thihariya, Kalagedihena",076-6676633,,,,0.0,0.0,1,2022-03-25 18:00:17,5.0,2023-09-23 12:28:51,
83,416ade29-ae6e-11ec-b57e-5254007123c1,Saranga Enterprises,"No. 04, ihalawewa, Shrawasthipura",071-2143053,sajithsaranga@gmail.com,,,0.0,0.0,1,2022-03-28 13:38:30,5.0,2025-03-21 06:02:04,
84,cc437d92-aff0-11ec-b57e-5254007123c1,Madduma Distributors- Anuradapura 2 (IDEA METALS Lt),"No.15, Batukotuwa Junction, Yodaela, Higurakgoda",0779263426/077626677,,,,0.0,0.0,0,2022-03-30 11:45:29,5.0,2023-08-02 21:00:50,5.0
85,7d9098d5-b3fd-11ec-b57e-5254007123c1,Agra Distributors PVT.Ltd (PE+),"69Mile Post, Korakahawewa, Pandulgama, Anuradapuraya",0252228098,,[RTN],,0.0,74130.7956,1,2022-04-04 15:26:25,5.0,2025-03-20 10:12:15,5.0
86,9aff40a1-b4ca-11ec-b57e-5254007123c1,Sigify Lanka(PVT),(Formerly Know as Philips Ligting Lanka Privt Limited,0775289738,,,,0.0,0.0,1,2022-04-05 15:54:41,5.0,2022-04-05 10:27:37,
87,f72d5a43-b4e0-11ec-b57e-5254007123c1,Lankaloha Hardware Limited,LANLO HOUSE YAKKALA.,0332226010,,,,0.0,0.0,1,2022-04-05 18:34:45,5.0,2024-10-10 09:33:55,5.0
88,54f4dbb3-b738-11ec-b57e-5254007123c1,Polythene- Walk in Supplier,-,0771977984,,,,0.0,0.0,0,2022-04-08 18:05:11,5.0,2023-02-17 16:28:09,5.0
89,c5a45011-b7ec-11ec-b57e-5254007123c1,KENYON Electronics,"Dambulla Road, NAula",0761379265,,[RTN Bulb/multy]Mr.Indika,,0.0,0.0,1,2022-04-09 15:36:49,5.0,2023-09-28 22:52:36,5.0
90,098992ae-c518-11ec-b57e-5254007123c1,Sanju Chemical,Gampaha,0704392866,,Mr. Senevirathna,,0.0,2000.0,1,2022-04-26 09:49:17,5.0,2025-03-05 11:09:26,
91,fd76a87d-ca14-11ec-b57e-5254007123c1,Oniru Enterprises (Mr Dilantha),-,077-2202009,,Mr.Dilantha,,0.0,0.0,0,2022-05-02 18:10:04,5.0,2023-04-05 19:26:36,5.0
92,474253c8-dbf1-11ec-8fdc-5254007123c1,Normal Bend/ Elbow,-,0713464043,,,,0.0,0.0,1,2022-05-25 11:39:47,5.0,2022-05-25 06:28:12,
93,cb52c9d0-dbfb-11ec-8fdc-5254007123c1,Hail Solanka Chemical Industries,Gampaha,077-6283523,,,,0.0,0.0,1,2022-05-25 12:55:03,5.0,2024-10-11 10:05:47,
94,135bf14b-e3ed-11ec-8fdc-5254007123c1,Dammika Lime Powder,Malsiripuara,072-4610776,,,,0.0,0.0,1,2022-06-04 15:29:51,5.0,2025-02-21 07:27:12,
95,e96546b3-e3f3-11ec-8fdc-5254007123c1,Miris Gal Supplier,Medawachchiya,071-8257305,,Mr.Kumara,,0.0,11940.0,1,2022-06-04 16:18:47,5.0,2025-03-21 12:31:27,5.0
96,1c74c3bd-e556-11ec-8fdc-5254007123c1,Chanuga Transport Service,"4 Mail Post, Rajanganaya",0777442177,,,,0.0,0.0,0,2022-06-06 10:34:14,5.0,2023-04-05 19:19:44,5.0
97,54f69886-e58b-11ec-8fdc-5254007123c1,ORION Electrical,Tangalle,071-3309541,,,,0.0,0.0,1,2022-06-06 16:55:13,5.0,2022-08-03 04:48:52,
98,b625109d-e646-11ec-8fdc-5254007123c1,Pidilite Lanka (Pvt) Ltd - FEVICOL,Anuradapura,077-6673213,,,,0.0,46801.8,1,2022-06-07 15:16:31,5.0,2025-03-04 09:07:28,5.0
99,59645747-e981-11ec-8fdc-5254007123c1,Crown Distributors- RTN 3088/1563,FIRST CROSS STREET.HINGURAKGODA,0779344050,,[Torch RTN],,0.0,12000.0,1,2022-06-11 17:53:50,5.0,2025-02-15 07:13:07,5.0
100,041112e1-ed68-11ec-8fdc-5254007123c1,A&S Distributors ( 3713 RETUN ),"No 230, Abayawewa, Anuradapura",0765580061-REF,,[RTN 2853/3709],,0.0,348900.0,1,2022-06-16 17:02:34,5.0,2025-03-14 11:57:29,5.0
101,2c29ed2d-ee25-11ec-8fdc-5254007123c1,New Star Distributor,"Nittambuwa, Thihariya",077-2929595,,,,0.0,0.0,1,2022-06-17 15:36:36,5.0,2024-06-05 09:50:02,5.0
102,72f580de-eedc-11ec-8fdc-5254007123c1,Common Supplier,Walk in,-,,,,0.0,-361650.0,1,2022-06-18 13:28:33,5.0,2025-03-22 07:54:57,5.0
103,81a58af1-f2cc-11ec-8fdc-5254007123c1,ZENOI Electrozen Distributor Pvt.Ltd,Colombo,077-5110097,info@electrozen.lk,,,0.0,0.0,1,2022-06-23 13:44:30,5.0,2023-03-31 07:16:51,
104,b1a733c1-1558-11ed-8fdc-5254007123c1,Super Electronic (Batapola Antana),"Karavilahena, Naula",071-0818256,,,,0.0,0.0,1,2022-08-06 12:53:40,5.0,2023-06-19 06:38:02,5.0
105,3969f254-17d4-11ed-8fdc-5254007123c1,Mayuragiri Markerting Service,"45/33, Station Road, Kapuwatta, Ja-Ela",0775467995,,,,0.0,0.0,1,2022-08-09 16:42:58,5.0,2024-07-08 10:13:38,
106,c2d43eb3-1ae0-11ed-8fdc-5254007123c1,SAMSON International PLC / SAMSON TRADING COMPANY(PVT)LTD,KUMARAN RATHNAM ROAD/COLOMBO 02,0112314291,,,,0.0,0.0,1,2022-08-13 13:50:16,5.0,2024-01-20 07:16:47,5.0
107,3c61c796-1ebb-11ed-8fdc-5254007123c1,Sadew P.V.C Rubber Indrusties,"Kahatapanawa, Thaligama",0714795268/076072646,,Mr.H.A Susantha,,0.0,0.0,0,2022-08-18 11:31:43,5.0,2023-04-05 19:29:57,5.0
108,ac96859a-2210-11ed-8fdc-5254007123c1,Luxury Holdings,"Udaya Mawatha, Anuradapura",0767607907,,Mr. R.R Ahamed,,0.0,0.0,1,2022-08-22 17:20:52,5.0,2023-09-14 11:16:30,5.0
109,066dbb53-25fb-11ed-8fdc-5254007123c1,Gajindu Distributors New Acc RTN BOUTH 4661,"No 270, Old Moor Street, Colombo 12",077 2373939,,REF: 0713208755,,0.0,189840.4,1,2022-08-27 16:55:59,5.0,2025-03-05 06:12:39,5.0
110,67ed8672-2757-11ed-8fdc-5254007123c1,Kambi/Wire Nail Supplier(Nawaz),Vavuniya,-,,Mr.Nawaz,,0.0,50.0,1,2022-08-29 10:29:47,5.0,2023-03-01 08:38:07,5.0
111,420f010d-2771-11ed-8fdc-5254007123c1,C&B Spare Parts,Medawachchiya,0252245118,,,,0.0,18700.0,1,2022-08-29 13:34:51,5.0,2025-03-20 06:41:12,5.0
112,8f085ea9-283e-11ed-8fdc-5254007123c1,SunBright Enterprises,"Siyabalape South, Siyabalape",071-4977662,,,,0.0,0.0,1,2022-08-30 14:04:27,5.0,2022-11-16 12:10:06,5.0
113,023a9bb0-29c6-11ed-8fdc-5254007123c1,Orange Distributor (Lanka Suppliers ),"Kohomba Sewana,Trincomalee",0769309641,,,,0.0,428219.4,1,2022-09-01 12:46:33,5.0,2025-03-03 10:10:23,
114,1d78fc43-29d5-11ed-8fdc-5254007123c1,Buddhika Brushes (PVT)LTD,"Panagoda, Homagama",0773469737,,,,0.0,0.0,1,2022-09-01 14:34:41,5.0,2023-04-21 06:53:44,5.0
115,1b6e5e0e-2e88-11ed-8fdc-5254007123c1,Berlux Paints Pvt. Ltd,"Mabola,Waththla",0112952595,,,,0.0,70674.0,1,2022-09-07 14:06:02,5.0,2025-03-17 06:29:42,5.0
116,e9676d4f-2ffb-11ed-8fdc-5254007123c1,AGROMAX -Global Resources International (pvt) Ltd.,"2nd Floor, Paramount Tower, 192/10,9th Lane, Nawala Road,Nawala",0113400909,info@agromax.com,,,0.0,0.0,1,2022-09-09 10:27:31,5.0,2023-03-23 04:31:02,5.0
117,133ed845-3261-11ed-8fdc-5254007123c1,Southern House Enterprises (pvt) Ltd[CEMENTO),"Walpita,Batawala,Padukka",0777168589,,,,0.0,0.0,1,2022-09-12 11:36:43,5.0,2023-06-09 13:08:42,5.0
